Row 1: ['教育部认可的84项全国大学生学科竞赛名录', '', '', '', '', '', '', '', '', '', '', '']
Row 55: ['51', '中国机器人及人工智能大赛', '每年6月', '分为以下几个阶段：校级选拔赛\n各参赛院校必须进行校赛，排名在前 30%进入省级选拔赛（省级\n层次选拔赛），参赛院校务必把关参赛作品。\n省级选拔赛（省级层次选拔赛）\n（1）全国大赛组委会按工作计划在全国设立省赛组委会，省赛组委\n会负责组织本地区省级选拔赛。原则上一、二等奖推荐参加国赛，推\n荐比例不超过 50%。省赛区已举办的比赛项目，必须通过省赛推荐至\n国赛。\n（2）有下列情况之一，需要参加全国组委会组织的省级层次选拔赛。\n1）对于已设立省赛组委会的地区，但由于本地区高校专业设置情况导致部分赛项不能成赛；\n2）未成立省赛组委会地区。\n省级层次选拔赛与各省赛评审标准、专家组执行统一标准，获奖证书为省级证书。\n全国赛\n具体安排见全国总决赛通知。\n专项赛\n为深化产教融合，促进教育链、人才链与产业链、创新链有机衔接，大赛组委会设置专项赛。专项赛比赛标准、获奖证书与其他赛项保持一致。专项赛具体赛事具体安排见专项赛通知。', '1.创新赛\n机器人创新赛、人工智能创新赛、智能文化创意创新赛、智能制\n造数字孪生创新赛、智能家电创新赛、机器人舞蹈赛（多足异形）、\n机器人舞蹈赛（仿人单人、仿人多人）\n2.应用赛\n机器人应用赛（百度 Apollo 城市道路自动驾驶）、机器人应用\n赛（城市道路识别）、机器人应用赛（智能巡检）、机器人应用赛（智\n能驾驶）、机器人应用赛（智慧农业）、机器人应用赛（智能家居服\n务）、机器人应用赛（四足急速物流）、机器人应用赛（智能产线应\n用场景）、机器人应用赛（智能餐饮服务）、机器人应用赛（智慧零\n售）\n3.竞技赛\n机器人竞技赛（Simuro 足球）、机器人竞技赛（格斗）、机器\n人竞技赛（仿人短跑、障碍跑、不规则地形、点球）、机器人竞技赛\n（iLoboke 足球）\n4.挑战赛\n机器人任务挑战赛（Aelos/Roban 人形标准平台、Roban 人形标\n准平台虚拟仿真）、机器人任务挑战赛（小型桌面级）、机器人任务-3-\n挑战赛（全地形自适应机器人设计）、机器人任务挑战赛(自主巡航、\n目标射击)、机器人任务挑战赛（微型无人机）、机器人任务挑战赛\n（无人协同系统）、机器人任务挑战赛（智慧药房）、机器人任务挑\n战赛（四足仿生中型、四足仿生小型）、机器人任务挑战赛（无人车\n室外场景）、机器人任务挑战赛（复合机器人月球探索）\n注：竞赛规则本轮通知不发布，大赛技术委员会根据大赛章程组\n织专家对第二十六届大赛规则进行测试，测试合格后随第二轮通知发\n布。', '无', '大连理工大学在读全日制本科学生均可以组队参加所有类别的竞赛。每个参赛队由本科生1-3人（本校区、开发区校区或盘锦校区均可）组成，可设1至2名指导教师。参赛要求如下：1.参赛作品不得违反有关法律、法规以及社会道德规范，参赛作品不得侵犯他人知识产权。未尽事宜请到“中国机器人与人工智能大赛DUT”QQ群咨询，群内不定期开展相关赛项说明及培训工作。各竞赛类别参赛作品要求及部署方法，请各参赛选手及时关注国赛官方网站（https://www.caairobot.com/）。如有更新，以国赛官方网站公布信息为准。', '', '', '', '', '']
Row 56: ['52', '全国大学生节能减排与社会实践科技竞赛', '每年4-5月', '作品提交与初审：参赛作品需在比赛当年完成，且为非导师科研项目。 作品申报书等材料需在规定时间内进行网上提交。大赛组委会将组织专家在网上进行作品初审。\n专家会评与公示：举行专家会评，确定入围决赛作品名单及其他获奖作品名单。通过会评的作品将进行为期10天的公示。\n终审与决赛：全国总决赛举办。', '紧扣“节能减排，绿色能源”的主题，作品包括实物制作（含模型）、软件、设计和社会实践调研报告等，体现新思想、新原理、新方法以及新技术。\n赛道分类\n竞赛作品分为“社会实践调查”和“科技作品”两类。这两类赛道均需要提交作品申报书、参赛作品说明书、作品介绍视频，其他佐证材料也可用附件形式提交。其中，科技作品类含实物制作、软件、设计等项目；社会实际调查报告类则需要深入社会进行实践调研，与节能减排的理念结合，紧密围绕“双碳”战略目标等国家重大需求，形成自己的调研报告。', '无', '在校全日制非成人教育的本科生、专科生。参赛者必须以小组组队的形式参赛，每组不得超过7人，可聘请指导教师1~2名；可以跨学院组队。\n作品申报要求如下：\n1.申报作品必须是比赛当年（2025年）将要完成的作品。\n2.其中每名同学作为作品负责人最多可申报一件作品，作为团队成员最多可申报一件作品。\n3.与往届作品雷同，没按申报书、设计说明书等要求申报的作品，取消评奖资格。\n4.参赛学生必须在规定时间内完成，准时上交参赛作品，未按时上交者作自动放弃处理。\n5.作品申报前，设计说明书和调查报告等要进行维普查重，并提交查重报告，要求文字复制比低于30%方可申报，查重网址：https://vpcs.fanyu.com/personal/neepujs。', '', '', '', '', '']
Row 57: ['53', '“21世纪杯”全国英语演讲比赛', '线上公众号报名，每年3-4月', '本届赛事全程分为四个阶段：\n1．报名和校园选拔赛/地区初赛（3月～4月）\n2．地区复赛（4月～5月）\n3．地区决赛（5月~6月）\n4．全国半决赛/总决赛（拟8月）', '1.已备演讲主题（地区初赛至全国半决赛）演讲内容占45%，语言质量占35%，综合印象占20%。\n', '无', '全国范围内18周岁以上（含18周岁）的在读人员（硕士研究生、博士、博士后）、社会在职人士均可报名；选手须为中国国籍；参加过往届“21世纪杯”全国青年英语演讲比赛全国总决赛的选手不具备参加本届青年英语演讲比赛全国总决赛的资格。', '', '', '', '', '']
Row 58: ['54', 'ICAN大学生创新创业大赛（原中国MEMS传感器应用大赛）', '每年4-7月，所有参赛团队统一通过大赛官网（www.g-ican.com）报名', '校内比赛（8—9月份）\n各参赛高校可根据报名数量自行决定校内赛的举办，分赛区组委会进行指导工作，选拔优秀项目晋级分赛区比赛。\n分赛区选拔赛（9—10月份）\n各分赛区组委会积极组织分赛区比赛，择优推荐项目入围全国总决赛。\n全国总决赛（11月份）\n大赛评审委员会对入围总决赛的项目进行初选评审，择优选拔项目进行现场比赛。在总决赛比赛期间同时举办开闭幕式、创新作品展、人才招聘会、投融资对接、颁奖典礼等交流展示活动。', '1.创新赛道。鼓励学生激发创新思维，掌握创新方法，展示团队的创新实践能力，通过团队协作自主完成的原始创新作品为主。\n2.创业赛道。鼓励学生提升自身创业能力，投身创业实践，创造社会效益和商业价值，要求团队进一步完善项目作品，完成公司注册。\n3.挑战赛道。根据行业发展需求设计相关实战创新赛题，团队根据要求制作完成项目，激发学生掌握前沿技术，提升实战技能，带动就业创业。挑战赛题方案另行发布。\n', '无', '全国高等院校及科研院所的在校学生（含本科、专科、硕士研究生、博士研究生），必须以团队形式参赛，每支队伍2-4名队员，可以跨赛区和学校组队。\n采用大赛提供的微纳米器件（非必须），制作可以演示和操作的创新应用系统为有效参赛作品，参赛作品务必是学生原创，谢绝任何形式的导师课题参赛。', '', '', '', '', '']
Row 59: ['55', '“工行杯”全国大学生金融科技创新大赛', '每年1月', '一月份参赛选手通过大赛官网进行报名并提交作品。同月省赛由工商银行各分行组织省级比赛。二月的全国区域赛和三月的全国总决赛由晋级选手进行现场舞台展示，评委打分。\n进入全国区域赛的优秀作品主创团队成员将进入工行招聘绿色通道，工行将向团队成员提供行内实习机会。符合工行招聘录用条件且实习期间表现优异的学生，在通过实习当年的校园招聘统一笔试后直接获得工行offer。对进入区域赛及之后赛程的选手，授予大赛荣誉证书，并根据获奖级别进行相应奖金奖励，', '以24年为例，大赛将继续以数智金融为核心内容，下设“个人金融、场景金融、美好生活、无界创想”四大选题。', '无', '为维护大赛的公正性与权威性，参赛选手如出现以下情形，视为自动放弃大赛一切权益：不服从大赛整体组织安排、不履行大赛组委会相关规定、未按要求提交大赛材料、现场赛未按期到场参赛、受不可抗力影响无法进行后续比赛等。\n参赛作品须保证原创性，大赛尊重并保护参赛选手提交作品的知识产权，但参赛作品不得涉及知识产权纠纷、抄袭作假等情形，一经发现参赛者自行承担全部责任及损失并取消其参赛资格。对于晋级现场赛的参赛作品，如涉及技术专利须提前向大赛组委会说明，并签署相关协议。', '', '', '', '', '']
Row 60: ['56', '中华经典诵写讲大赛', '每年7月', '各省级教育（语言文字工作）部门自行组织赛区初赛，形式自定，选拔推荐入围全国复赛的作品。\n八月举行复赛，分赛项执委会组织专家对复赛作品进行评审，确定入围决赛的参赛作品。\n九月的决赛分为半决赛和总决赛。入围决赛的参赛作品参加线下现场比赛（海外组线上比赛），半决赛按照成绩排序，约25%进入总决赛，角逐一等奖、二等奖。其余作品确定三等奖、优秀奖。', '我国古代、近现代和当代有社会影响力和典范价值的，体现中华优秀文化的经典诗词、文章和优秀图书内容节选。当代作品应已正式出版或由省级以上广播电视等主流媒体公开发布或发表。诵读文本主体前后可根据需要增加总计不超过200字的过渡语（计入总时长）。改编、网络以及自创文本不在征集之列。', '“诵读中国”经典诵读大赛、“诗教中国”诗词讲解大赛、“笔墨中国”汉字书写大赛、“印记中国”师生篆刻大赛', '参赛作品严格按照对应要求，符合原创性和人数限制，具体要求视当年竞赛下发要求而定。', '', '', '', '', '']
Row 61: ['57', '“外教社杯”全国高校学生跨文化能力大赛', '无固定时间', '比赛形式为提交选手个人授课视频。授课时间为 20 分钟。开始 3 分钟左右为综述时间，随后为课堂授课时间。综述时间内，选手陈述对授课文本的整体教学设计，建议采用最有效的方法展示对整个单元教学设计过程中教学目标的设定和具体实施之间的逻辑关系；课堂授课时间内，选手针对整体教学设计中某一具体板块进行教学展示。选手需制作电子课件辅助教学，也鼓励用黑板板书辅助教学。综述加课堂授课总时间不少于 17 分钟，不超过 20 分钟；有学生配合授课。授课评分标准详见附录。', '英语专业组与商务英语专业组比赛包含分赛区比赛和全国决赛（总决赛）。分赛区比赛采用“授课 + 说课”的形式。全国决赛采用“单元教学设计 + 授课 + 回答评委提问”的形式。全国决赛决出前十位选手进入全国总决赛；全国总决赛采用“说课 + 回答评委提问”的形式。 \n翻译专业组比赛包含初赛和全国总决赛。初赛为选手提交个人授课视频，由大赛全国组委会组织专家对授课视频进行打分评比，决出前 10位选手进入全国总决赛；全国总决赛采用“说课 + 回答评委提问”的形式。\n日语专业组比赛包含初赛和全国总决赛。初赛为选手提交个人授课视频，由大赛全国组委会组织专家对授课视频进行打分评比，决出前 10位选手进入全国总决赛；全国总决赛采用“说课 + 回答评委提问”的形式。', '无', '内容符合大赛章程目录，内容完整，图像清晰稳定、构图合理、声音清楚，教师应对授课过程中使用的板书、素材、多媒体课件（PPT、音视频、动画等）认真检查，确保内容无误，版面简洁清晰。片头不超过 5 秒，内容须包括：授课名称、选用教材及单元信息。为保证评审环节的公平公正，视频中的任何位置都不可出现制作人员、学校名称等与参赛选手相关的信息。\n视频技术参数建议：视频编码：H.264/AVC，动态平均码率VBR 1000kbps~5000kbps，画面比例 16:9（像素比 1:1）,25 帧/秒，逐行扫描，画面尺寸最小不得小于1024x576，最大不得大于 1920x1080；音频编码：H.264/AAC，固定码率 CBR 128kbps，采样率 44.1KHz，双声道；文件格式：MP4。', '', '', '', '', '']
Row 62: ['58', '百度之星·程序设计大赛', '无固定时间', '六月进行初赛，八月进行决赛\n每场初赛时长3小时、8道题；决赛时长5小时、12道题。选手使用程序设计语言解决挑战性算法问题。', '初赛和决赛均为算法设计类题型。', '无', '初赛选手国家/地区、年龄不限，可为在校生或非在校生/社会人士。总决赛选手须为具有正式全日制学籍的在校学生（以初赛报名时学籍状态为准）。非在校生/社会人士有机会获得决赛“打星”名额。\n参赛选手须独立完成题目，无任何作弊和欺诈行为。违纪作弊者将被列入不诚信数据库，取消成绩并禁止此后三年参赛。', '', '', '', '', '']
Row 63: ['59', '全国大学生工业设计大赛', '6月末到7月末', '7月由各分赛区组委会负责组织本赛区的宣传及评审活动。9月由全国大学生工业设计大赛复评委员会对各分赛区及邀请赛区提交的推荐作品进行评审，评选出约300件获得进入终评评审资格作品。11月全国大学生工业设计大赛终评委员会对进入终评作品进行分类评审，产生五大类作品的金、银、铜奖。', '参赛分类为A、C、D、E类作品须提供实物或模型。实物模型为衡量概念设计可行性的重要标准，实物或模型质量需符合展览展示标准，能体现该产品的使用功能。参赛分类为B服务与系统类别的作品，必须提交参赛作品的1分钟视频说明。该视频为设计作品的介绍、使用流程或场景的表现等将作为评审参考,文件大小不超过200M。其他类别作品可视展示需要及实物模型情况加上本项内容，不做强制要求。', '无', '参赛对象为普通高校全日制在校大学生，包括研究生、本科生及高职高专学生等。参赛者须以所在院校为单位，集体报名参赛。\n对获奖的参赛学生，所在学校应根据教育部有关规定，在评选优秀学生、奖学金、专升本及推荐免试研究生时予以适当鼓励；对赛前辅导付出辛勤劳动的指导教师，所在学校应根据教育部有关规定，在考核教师业绩、计算教学工作量时予以适当鼓励。', '', '', '', '', '']
Row 64: ['60', '全国大学生水利创新设计大赛', '每年5月', '5月报名，6月提交作品，各参赛学校于规定时间发送作品(包括设计说明书与图纸、视频录像)至大赛组委会秘书处邮箱后，由秘书处组织专家进行网络初评，通过网络评审的参赛团队参加现场评审，7月评审委员会依据申报作品资料、现场答辩和实物演示等程序进行现场评审。', '无固定命题', '无', '全国普通全日制本科在校大学生均可以个人或小组的方式，通过学校推荐参赛。每个参赛队(或每件作品)的学生人数不得超过5人，指导教师不超过2人(到现场参赛学生人数不超过3人，指导老师1人)。\n参赛学校可为参赛队聘请指导教师，但作品的选题、设计分析和制作等项工作都应由学生自行组织与完成。所有作品必须为参赛学生的原创作品，不得侵犯他人的知识产权。同时，已得相关奖项的作品不得参赛。实物作品体积不超过2立方米，最长方向尺寸不超过2米4.参赛名额。各高校推荐的参赛作品数量不超过3件，承办高校不超过4件。', '', '', '', '', '']
Row 65: ['61', '全国大学生化工实验大赛', '无固定时间', '7月举行初赛，分为东北、华北、华东、西北、西南、中南六个赛区分别进行，由各赛区组委会与承办单位共同制定初赛方案，推选出全国总决赛参赛名单。8月进行总决赛', '大赛的赛题范围包括（A）化工原理理论、（B）化工单元仿真操作和分析、（C）化工原理实验。（A）化工原理理论为现场机考，由每位队员分别独立完成。比赛内容包括流体流动、流体输送机械、传热理论与设备、传质过程基础、吸收、蒸馏、气液传质与分离设备、干燥。（B）化工单元仿真操作和分析为现场机考。由每位队员分别独立完成。竞赛内容经专家委员会研究审定后另行公布。（C）化工原理实验为现场考试。比赛内容包括四个实验项目，分别为：流体流动综合实验、传热综合实验、精馏实验、吸收实验。在确保安全的前提下，每支参赛队赛前随机抽取一个实验项目，由所有队员通过配合完成实验操作和实验报告。', '无', '参赛选手为高等学校化工类及相关专业全日制在校本科生，以学校为单位组队参赛。须以院校为单位组队参赛，不得跨校组队。每支参赛队由3名选手组成，可以设指导团队（成员不超过3人）。每所学校最多1支队伍进入全国总决赛。全国决赛代表队需缴纳赛务费600元/人，含注册费、耗材费、决赛期间的场地费等。', '', '', '', '', '']
Row 66: ['62', '全国大学生化学实验创新设计大赛', '每年4-7月', '7月到9月提交参赛作品，包括实验数字化设计方案、答辩PPT、实验视频及其它必要附件(具体要求由竞赛第二轮通知另行公布)，11月中下旬决赛根据作品成绩和答辩成绩综合排序确定获奖名单并公示一周。', '无固定类别', '无', '参赛作品应符合本科实验教学需要，且未在参赛当年1月1日前在正式出版物公开发表、获得过国家或省级课程建设荣誉称号、或在同级竞赛活动中获奖。作品要求(1)声明实验进行数字化设计的必要性和迫切性:(2)体现实验本身的教学目标及通过数字化设计所能够实现的教学目标和教学功能:(3)数字化设计所针对的原型实验的原理和内容:(4)数字化设计内容的科学原型和原理、数学物理建模过程、数据库及算法:(5)实验过程(如实验内容、步骤等):(6)实验场景(如实验过程中的实验装置、反应、现象、产品或实验曲线、数据、图像等);(7)实验记录、结果处理过程及实验报告;(8)实验的评分方法、评分指标与教学目标的对应关系，实验报告的评价方式。\n本次竞赛为团体赛，比赛采取作品评审和答辩的形式进行。作品评审采取现场集中评审或网上评审的方式;作品答辩采取现场答辩方式进行。竞赛成绩由作品成绩和答辩成绩两部分组成，各占 50%。', '', '', '', '', '']
Row 67: ['63', '全国大学生计算机系统能力大赛', '每年2-5月', '3月发布全国决赛第一阶段题目，公布评测指标，6月到7月举行全国决赛第一阶段，8月举行全国决赛第二阶段，现场决赛日和现场答辩日的具体时间以组委会公布的为准。', '“OS内核实现”赛道：初赛过程中，要求源代码与开发过程全部开源展示，参赛队应按要求提供开源发布的网址以供访问，并将相关内容提交到大赛指定的托管平台上。\n“OS功能挑战”赛道：参赛队按照所选赛题的技术要求给出实现方案，并提交作品源代码和开发文档。参赛队应按要求提交项目的阶段性技术报告和开发状态演示，以便评审专家进行阶段性检查，并给出指导性建议。初赛过程中，要求参赛队的源代码与开发过程全部开源展示，参赛队应按要求提供开源发布的网址以供访问，并将相关内容提交到大赛指定的托管平台上。', '无', '“OS内核实现”赛道的参赛对象为普通高等学校（含本科院校，高职（专科）院校）的全日制在校本科生和专科生。“OS功能挑战”赛道的参赛对象为普通高等学校（含本科院校，高职（专科）院校）的全日制在校本科生、专科生、硕士生和博士生。\n参赛队是操作系统设计赛报名参赛的基本单位, 每支参赛队的人数为1～3人，同一高校的参赛队数量没有限制，但是来自不同学校的学生不能联合组队参赛。每位参赛学生只能参加一支参赛队，不可重复报名。每个参赛队只能选择一个赛道参赛。每个参赛队最多可有两位指导教师，在初赛阶段可没有指导老师，在决赛阶段要求至少一位指导老师。', '', '', '', '', '']
Row 68: ['64', '全国大学生花园设计建造竞赛', '每年12月', '1月提交设计方案，3月竞赛组委会组织专家评审团对参赛方案的设计创意及建造可行性进行评审，遴选出入围作品，并通过终审答辩确定入选花园建造阶段的实施作品。4月组委会将根据评委和合作单位的意见，要求入选团队进行基于实际建造可行性的方案深化调整。5月入选团队开始花园建造工作。建造周期为3天。5月末花园季组委会于现场建造结束后组织国内外知名专家进行评奖。', '无固定类别', '无', '鼓励设计者在有限的地块内，以竹材和花卉为主要材料，可自行选择配合一定量的辅材（辅材须为绿色环保材料），设计并建造一座展示植物与自然魅力的花园。设计者需充分尊重竹材的自然特性和施工技艺特点，使用定量的原竹、竹篾、竹片等材料，利用其空间延展性、材料不同排列方式和密度形成的强烈韵律感等特征，探索竹作为主要结构材料、围合材料和装饰材料的多种可能性，寻找最适宜的呈现方式；同时，可以选择适宜的辅材配合竹材进行建构，结合植物材料的运用，表达设计师对主题的理解。\n所有组别均须以小组形式报名参加方案征集，小组人数限于4-6人（含4人与6人），每个小组须确定1名指导教师。同一参赛者仅可报名一组参赛，且每组团队只能提交1份作品。', '', '', '', '', '']
Row 69: ['65', '全国大学生物联网设计竞赛', ' 4 月 1 日 - 6 月 15 日', '作品形式：线上提交基于物联网技术、具现实应用价值的设计方案文档和演示视频；现场进行作品演示和答辩，参赛作品须为学生原创。\n竞赛形式：包括线上预赛、分赛区决赛和全国总决赛。线上预赛通过线上评审确定入围分赛区决赛名单；分赛区决赛由各分赛区承办单位组织，采用作品讲解和现场演示环节，确定分赛区奖项及入围全国总决赛名单，入围总决赛队伍不多于 170 支；全国总决赛由竞赛组委会组织，采用作品讲解和演示环节确定奖项归属。', '基于物联网技术的各类应用设计，如智能远程操作机器人设计，可应用于交通运输、工业生产、能源管理、环境监测等场景，以及其他利用物联网技术解决实际问题的创新性应用设计方案。', '无', '人员要求：参赛对象为普通高校全日制在校学生，也欢迎优秀的职业学校全日制在校学生参赛。每支参赛队学生不超过 4 人，指导教师不超过 2 人。指导教师可带本校多支参赛队，学生只能参加 1 支参赛队。\n作品要求：作品必须是学生原创，不能是导师课题，也不能直接使用其他竞赛作品参赛。需按照要求提交报名表、作品设计方案和实物演示视频等。', '', '', '', '', '']
Row 70: ['66', '全国大学生信息安全与对抗技术竞赛', '4 月 30 日上午 8:00 开放注册', '个人挑战赛：采取线上模式，一般于 5 月 1 日开始，持续 25 天左右。题目类型包括 BASIC、WEB、REVERSE、PWN、MISC 和 REALITY 等关卡。\n分组对抗赛：邀请各地优秀学生参与，为线下模拟环境中的真实对抗，一般在个人挑战赛等结束后的暑期进行，持续 1 天，常安排在 7 月中旬。采取阵地夺旗、占领高地等模式进行攻防比拼。\n无限擂台赛：主要面向基础知识扎实，做题经验丰富或极具创新思维的选手。选手需解答擂台上的题目获得打擂资格，提交原创题目并通过审核后可取代擂台上的题目，根据赛题要求使用机器学习方法对应用问题建模并提交预测结果，按成绩排行榜排名。\n数据思维赛：采用线上方式，具体形式根据赛题而定，注重考察选手的数据思维和分析能力。\n创新作品赛：采用开放命题形式，参赛队伍提交网络与信息安全类软硬件作品，由评委进行评审。\n智能安全赛：设置不同赛项，涵盖工、农、医、文、商等学科，鼓励信息安全技术与其他领域学科智能融合。', '在创新作品赛中，作品类别为网络与信息安全类软硬件作品，如网络安全防护系统、信息加密软件、安全检测硬件设备等', '无', '竞赛面向全国大学生、研究生，中小学生也可参赛。若以团队形式参赛，每支队伍一般由不超过规定数量的学生和指导教师组成，如西北农林科技大学要求每支参赛队伍由 3 名学生队员，1-2 名指导教师组成。参赛作品必须为原创，符合竞赛主题和相关规则，不得抄袭或使用他人成果。', '', '', '', '', '']
Row 71: ['67', '全国大学生测绘学科创新创业智能大赛', '截止到 6 月 20 日', '测绘技能竞赛：含虚拟仿真数字测图、无人机航测虚拟仿真、机载激光雷达虚拟仿真和测绘程序设计比赛四个赛项，分赛项分校赛（预赛）和国赛（决赛）。校赛由各高校自行组织，各赛项时间均为 4 小时，南方测绘派技术人员到现场指导。决赛采用选手线上，评委线下的模式进行。虚拟仿真数字测图、无人机航测虚拟仿真和机载激光雷达虚拟仿真比赛的预赛成绩由竞赛计算机评分系统自动评判，决赛成绩由竞赛计算机评分系统自动评分（80%）和专家评判（20%）相结合方式评定。测绘程序设计比赛决赛成绩由计算机自动评分（80%）和专家评判（20%）相结合方式评定。\n开发设计竞赛：含创新开发、创新设计和创业计划比赛。选手线上完成作品汇报与演示（不超过 10 分钟）和线上回答评委提问（不超过 5 分钟）。评分与评奖由评委在选手汇报、演示和回答问题后根据评分标准独立评分，去掉最高分和最低分后取平均得该组成绩，并根据成绩排名确定比赛名次和获奖等级。\n科技论文竞赛：以网络评审为主，网评专家 7 人一组对每篇论文进行评审，去掉一个最高分和一个最低分取平均，确定获奖等级。对有异议的拟获一等奖及以上奖励的论文进行线上答辩，确定最终获奖等级。\n', '创新开发比赛：围绕测绘地理信息技术应用自主创新开发的软件（系统）或软硬件结合作品。\n创新设计比赛：围绕测绘地理信息技术应用自主创新设计的作品，如设计稿或设计模型等。\n创业计划比赛：围绕测绘地理信息技术应用的创业计划书。\n科技论文竞赛：测绘类科技论文。\n', '无', '测绘技能竞赛：专业组为开设测绘类专业的本科院校学生；非专业组为开设有 “测量学”“工程测量” 等测量类课程的非测绘类专业院校学生。每组由 1 名指导教师和 1 名选手组成，专业组每位指导教师限指导 2 组，参赛选手必须是在校本科生，不可一人参加多项比赛。\n开发设计竞赛：以全国高校测绘类专业的本科生为主，鼓励其他学科本科生积极参与，每个参赛组选手不超过 4 名，指导教师 1 名。\n科技论文竞赛：参赛论文的作者必须是在校本科生，不超过 3 人且均为学生，同一学生参与署名的论文和同一教师指导的论文均限定为 1 篇，不得跨校组合。\n作品要求\n创新开发比赛：提交软件（系统）或软硬件结合作品开发技术报告电子版、功能演示 DEMO、汇报 PPT，正式比赛时需准备自主开发软件源代码备查。\n创新设计比赛：提交创新设计报告电子版、汇报 PPT，正式比赛时可准备设计稿或设计模型备查。\n创业计划比赛：提交创业计划书电子版、汇报 PPT。\n科技论文竞赛：参赛论文未曾在公开刊物上发表且为测绘类科技论文，不超过 5000 字，需提交不超过 5 分钟的内容介绍视频，论文重复率不超过 20%。', '', '', '', '', '']
Row 72: ['68', '全国大学生统计建模大赛', '截止时间为 3 月 11 日 18：00', '校赛：5 月中旬开展，由各高校自行组织，按照本校名额评选出入选省赛参赛队。\n省赛：5 月下旬开展，分为通讯评审和现场答辩两个环节，依照国赛评审标准评选出省赛一、二、三等奖和入围国赛的参赛队。\n国赛：6 月下旬开始进行通讯评审、现场会议评审，评出国赛三等奖、部分二等奖及入围答辩赛的参赛队；8 月在东北财经大学举行国赛现场答辩赛，评出国赛的部分二等奖及一等奖。\n', '参赛队伍需围绕 “统计创新应用 数据引领未来” 的主题自拟题目撰写论文，形成统计建模相关的研究成果论文。\n', '无', '全日制在校本科生、研究生均可报名，专业不限。大赛设本科生组和研究生组，本科生和研究生单独组队，不可跨组别组队。每支参赛队须满 3 人组队，不可跨校组队参赛，每名参赛者限报一支队，每队指导老师为 1 人，每位指导老师指导的参赛队伍总数不得超过 4 支。', '', '', '', '', '']
Row 73: ['69', '全国大学生能源经济学术创意大赛', '10 月 14 日 —11 月 17 日', '采用校赛、区域（省）赛和全国赛三级赛制。参赛团队在大赛官网报名，逐级选拔，不能跨级参赛。具体安排如下：\n作品提交：2025 年 2 月 24 日 —3 月 9 日。\n作品初审及校级赛与区域赛：2025 年 3 月 10 日 —4 月 13 日。\n国赛通讯评审及会评：2025 年 4 月 15 日 —5 月 10 日。\n总决赛及颁奖仪式：2025 年 5 月中下旬。\n', '研究论文类：参赛选手可自行命题，以规范的学术论文格式提交，中英文均可。\n调研报告类：参赛选手根据能源经济领域的重要议题和社会现状，进行调查研究，撰写调研报告。格式不限，内容应包含主要调研内容、结论和相关分析。\n创新创业设计类：参赛团队围绕能源经济相关主题进行创新创业项目的设计和策划等。\n泛能源大数据类：基于泛能源大数据开展的分析、应用等相关作品。\n', '无', '全日制普通高校在校本科生、硕士博士研究生。国外高校的学生，需依托国内高校联合参赛。大赛分为本科生组和研究生组，有一位及以上研究生参与的团队属于研究生组。参赛团队由 1-4 名学生构成（含第一作者）。作品由参赛团队学生独立完成，可以请 0-2 名指导教师进行学术指导。参赛作品主题包括但不限于能源与低碳经济、能源金融与碳金融、能源环境与气候变化等。每个学生最多可以参与两项作品，其中作为第一作者的作品只能有一项。参赛作品禁止抄袭，禁止使用已公开发表过的专利、著作或论文参赛。进入国赛的作品作者需签署诚信承诺书。所有提交作品封皮和正文中不得出现学校名称、学生姓名、指导教师姓名、资助机构等信息。', '', '', '', '', '']
Row 74: ['70', '全国大学生基础医学创新研究暨实验设计论坛', '当年 3 月 - 4 月', '初赛：由各高校负责组织协调，对本校的参赛作品进行资格审查、作品评审及答辩等。\n复赛：采用限额制，各高校按规定名额推荐参加复赛作品。复赛执行委员会审核通过后的作品方可进入分区赛 / 预选赛。基础临床赛道分东部、西部、中南部、北部 4 个赛区开展分区赛；法医学、预防医学、中医药学赛道作品以及高职高专组作品不按分区，进行全国预选赛。约前 30% 作品晋级全国总竞赛。\n总决赛：复赛晋级的队伍参加，采用评委线下集中评审、学生线上或线下相结合的模式，按回避、双盲评审原则评选。\n', '创新研究论坛作品：展示及交流大学生为解决医学问题或以实验手段解释医学现象而开展课外科研的尚未公开发表的学术论文。\n实验设计论坛作品：展示及交流大学生为解决医学问题或以实验手段解释医学现象而开展课外科研的原创性科学研究实验设计。\n', '无', '举办竞赛终审决赛当年 7 月 1 日以前正式注册的全日制非成人教育的各类高等院校在校全日制本科生（含临床医学八年制等长学制本科阶段）、在华留学生。以团队形式参赛，原则上每个团队人数为 3-5 人，指导老师不超过 2 人，一般不跨校组队，鼓励校内跨学科组队。作品要求具有创新性、科学性、可行性，需学生本人及团队独立完成或在导师指导下独立完成。实验设计作品要求自主选题、设计、撰写，材料经费预算限定在 10 万元内；创新研究作品要求学生在自主设计基础上自主实施完成。论坛往届获三等及以上同类作品、获全国生命科学等省级国家级三等奖及以上作品不得重复参加，经查重与往届获奖作品重复 30% 以上取消资格。', '', '', '', '', '']
